 < 22:17:21 >  0 0 
 < 22:22:19 >  362.558197021484 0 0 
 < 22:22:20 >  362.558197021484 0 0 
 < 22:22:21 >  362.558197021484 0 0 
 < 22:22:22 >  362.558197021484 0 0 
 < 22:22:23 >  362.558197021484 0 0 
 < 22:22:24 >  362.558197021484 0 0 
 < 22:22:25 >  362.558197021484 0 0 
 < 22:22:26 >  362.558197021484 0 0 
 < 22:22:27 >  362.558197021484 0 0 
 < 22:22:28 >  362.558197021484 0 0 
 < 22:22:29 >  362.558197021484 0 0 
 < 22:22:30 >  362.558197021484 0 0 
 < 22:22:31 >  362.558197021484 0 0 
 < 22:22:32 >  362.558197021484 0 0 
 < 22:22:33 >  362.558197021484 0 0 
 < 22:22:34 >  362.558197021484 0 0 
 < 22:22:35 >  362.558197021484 0 0 
 < 22:22:36 >  361.842803955078 0 3.7008810043335 
 < 22:22:37 >  361.564666748047 0 3.80434823036194 
 < 22:22:38 >  360.997161865234 0 3.90168452262878 
 < 22:22:39 >  360.418518066406 0 4.01109075546265 
 < 22:22:40 >  359.829345703125 0 4.04695415496826 
 < 22:22:41 >  358.925903320313 0 4.15496063232422 
 < 22:22:42 >  358.619476318359 0 4.22736501693726 
 < 22:22:43 >  357.998657226563 0 4.26367807388306 
 < 22:22:44 >  357.367218017578 0 4.33650636672974 
 < 22:22:45 >  356.400024414063 0 4.44618654251099 
 < 22:22:46 >  356.072265625 0 4.48284578323364 
 < 22:22:47 >  355.40869140625 0 4.55628633499146 
 < 22:22:48 >  354.393188476563 0 4.66668224334717 
 < 22:22:49 >  354.049285888672 0 4.70352602005005 
 < 22:22:50 >  353.353424072266 0 4.77724933624268 
 < 22:22:51 >  352.289398193359 0 4.88785982131958 
 < 22:22:52 >  351.929321289063 0 4.96156072616577 
 < 22:22:53 >  351.201110839844 0 4.99838447570801 
 < 22:22:54 >  350.088653564453 0 5.10869312286377 
 < 22:22:55 >  349.712463378906 0 5.18204784393311 
 < 22:22:56 >  348.952026367188 0 5.21865510940552 
 < 22:22:57 >  348.180908203125 0 5.29170560836792 
 < 22:22:58 >  347.004272460938 0 5.40079975128174 
 < 22:22:59 >  346.606750488281 0 5.43701696395874 
 < 22:23:00 >  345.803771972656 0 5.50919914245605 
