 < 21:10:47 >  307.760955810547 0.973412036895752 42.6361694335938 
 < 21:10:48 >  307.48193359375 0.972098529338837 42.6267280578613 
 < 21:10:49 >  307.203216552734 0.970818221569061 42.6179275512695 
 < 21:10:50 >  306.924865722656 0.969555735588074 42.6109199523926 
 < 21:10:51 >  306.507995605469 0.967693209648132 42.6062278747559 
 < 21:10:52 >  306.369201660156 0.967093706130981 42.607494354248 
 < 21:10:53 >  305.953308105469 0.965395092964172 42.6239852905273 
 < 21:10:54 >  305.814819335938 0.964900612831116 42.6342010498047 
 < 21:10:55 >  305.537994384766 0.964073181152344 42.6615447998047 
 < 21:10:56 >  305.122863769531 0.963587045669556 42.7163124084473 
 < 21:10:57 >  304.984405517578 0.963733971118927 42.7362823486328 
 < 21:10:58 >  304.707183837891 0.96458911895752 42.77294921875 
 < 21:10:59 >  304.290069580078 0.967248022556305 42.8171730041504 
 < 21:11:00 >  304.150573730469 0.968447804450989 42.8297500610352 
 < 21:11:01 >  303.870788574219 0.971127867698669 42.8528060913086 
 < 21:11:02 >  303.449401855469 0.97481644153595 42.8840179443359 
 < 21:11:03 >  303.308563232422 0.976739168167114 42.903636932373 
 < 21:11:04 >  303.026550292969 0.977568089962006 42.9133758544922 
 < 21:11:05 >  302.602935791016 0.979696691036224 42.9427719116211 
 < 21:11:06 >  302.461608886719 0.980324625968933 42.9528846740723 
 < 21:11:07 >  302.178771972656 0.981508791446686 42.973445892334 
 < 21:11:08 >  301.895690917969 0.982639193534851 42.9948043823242 
 < 21:11:09 >  301.612335205078 0.983761191368103 43.016902923584 
 < 21:11:10 >  301.186706542969 0.985511183738708 43.0512428283691 
 < 21:11:11 >  301.044677734375 0.98611855506897 43.0746116638184 
 < 21:11:12 >  300.760284423828 0.98737895488739 43.0864524841309 
 < 21:11:13 >  300.475524902344 0.988699674606323 43.1103706359863 
 < 21:11:14 >  300.190338134766 0.990078449249268 43.1345252990723 
 < 21:11:15 >  299.761749267578 2.30225324630737 43.1708564758301 
 < 21:11:16 >  299.618682861328 4.26888513565063 43.182991027832 
 < 21:11:17 >  299.188812255859 11.8205938339233 43.2180976867676 
 < 21:11:18 >  299.045288085938 14.9493169784546 43.2289123535156 
 < 21:11:19 >  298.757934570313 22.1208953857422 43.2485504150391 
 < 21:11:20 >  298.491516113281 34.0481643676758 43.2711868286133 
 < 21:11:21 >  298.474700927734 41.1069869995117 43.2813034057617 
 < 21:11:22 >  298.654968261719 43.6916542053223 43.2847518920898 
 < 21:11:23 >  299.340057373047 44.6120109558105 43.2884864807129 
 < 21:11:24 >  301.830322265625 24.8829898834229 43.2854766845703 
 < 21:11:25 >  303.009552001953 10.6311454772949 43.2821655273438 
 < 21:11:26 >  305.660827636719 1.01612210273743 43.2724723815918 
 < 21:11:27 >  309.828521728516 1.02339315414429 43.2512092590332 
 < 21:11:28 >  311.041107177734 1.02563321590424 43.243049621582 
 < 21:11:29 >  312.121276855469 1.02890801429749 43.2262306213379 
